Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051970;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;94;;94;94;94;1300;a;1;0;0;9;4;;;;;;;;;;;;;;;842;I3SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051612;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;142;;163;163;163;1300;a;1;0;4;11.5;4;;;;;;;;;;;;;;;784b;I1SE6;784b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051861;;Euphorbiaceae;;Sapium;;Sapium glandulosum;2;2019.644;240;;240;240;240;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;1071;I2SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051710;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;223;;223;223;223;1300;a;1;0;4;15.5;4;;;;;;;;;;;;;;;974;I2NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051838;;Myrtaceae;;Eugenia;;Eugenia uruguayensis;2;2019.644;109;;109;109;109;1300;a;1;0;4;10.5;4;;;;;;;;;;;;;;;1058;I2SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051890;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;156;;156;156;156;1300;ah;1;0;4;8;4;;;;;;;;;;;;;;;1087a;I2SW9;1087a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051367;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;208;;208;208;208;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;620;I1SW9;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051738;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;182;;182;182;182;1300;a;1;0;4;11.5;4;;;;;;;;;;;;;;;988;I2NE2;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051655;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;101;;101;101;101;1300;ahn;1;0;4;7.5;4;;;;;;;;;;;;;;;927a;I2NW11;927a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051363;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;285;;285;285;285;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;617;I1SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051561;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;352;;352;352;352;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;753;I1SE5;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051939;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;91;;91;91;91;1300;a;1;0;0;7;4;;;;;;;;;;;;;;;818;I3NE1;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051988;;Cunoniaceae;;Weinmannia;;Weinmannia paulliniifolia;2;2019.644;256;;256;256;256;1300;a;1;0;0;8;4;;;;;;;;;;;;;;;859;I3NW10;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051722;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;226;;226;226;226;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;980;I2NE1;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051389;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;320;;320;320;320;1300;a;1;0;4;7.5;4;;;;;;;;;;;;;;;639;I1SW7;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051941;;Cunoniaceae;;Weinmannia;;Weinmannia paulliniifolia;2;2019.644;175;;175;175;175;1300;a;1;0;0;15;4;;;;;;;;;;;;;;;820;I3NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051704;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;662;;662;662;662;1300;a;1;0;4;18;4;;;;;;;;;;;;;;;968;I2NE3;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2336722;;Podocarpaceae;;Podocarpus;;Podocarpus lambertii;2;2019.644;223;;223;223;223;1300;a;1;0;0;12;4;;;;;;;;;;;;;;;15249;I3NW10;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051524;;Myrtaceae;;Eugenia;;Eugenia oeidocarpa;2;2019.644;127;;127;127;127;1300;ah;1;0;4;6;4;;;;;;;;;;;;;;;729a;I1NE1;729a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051661;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;172;;172;172;172;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;931a;I2NW11;931a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051555;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;0;;0;0;0;;0;krs;0;;;;;;;;;;;;;;;;;;747;I1SE5;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051822;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;131;;131;131;131;1300;a;1;0;4;8;4;;;;;;;;;;;;;;;1050;I2SW7;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051414;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;396;;396;396;396;1300;a;1;0;4;19;4;;;;;;;;;;;;;;;660;I1NW11;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051975;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;172;;172;172;172;1300;a;1;0;0;9;4;;;;;;;;;;;;;;;847;I3SW9;
